               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092783,             0.14147,          5.0088e-08,           0.0051566,           0.0035651,           0.0012901,          0.00019507,            0.086303,             0.13687,          4.7434e-08,            0.070263,           0.0033041,           0.0033041
                   1,             0.08201,             0.12387,          4.5729e-08,             0.02509,            0.092692,           0.0088059,           0.0018905,            0.073195,             0.15047,          4.7479e-08,            0.040252,           0.0066265,           0.0066265
                   2,            0.071986,             0.12167,          3.9725e-08,            0.034394,            0.094474,            0.012034,            0.002659,            0.068815,             0.14404,          4.5515e-08,             0.01023,           0.0099379,           0.0099379
                   3,            0.068464,             0.13294,           3.711e-08,            0.043134,            0.073084,            0.016027,           0.0036448,            0.061617,              0.1324,          3.7346e-08,           0.0099505,           0.0099505,           0.0099505
                   4,            0.064329,             0.12705,          3.4319e-08,            0.066733,             0.15152,            0.027362,           0.0066656,            0.060062,              0.1322,          3.4666e-08,           0.0099505,           0.0099505,           0.0099505
                   5,            0.064368,              0.1308,          3.2652e-08,            0.094688,             0.11586,            0.042172,            0.010116,            0.057253,             0.13586,           3.218e-08,            0.009934,            0.009934,            0.009934
                   6,              0.0618,             0.13346,          3.2125e-08,              0.1221,             0.10339,            0.046117,            0.011066,            0.058068,              0.1321,          3.2765e-08,           0.0099175,           0.0099175,           0.0099175
                   7,            0.060657,             0.12525,          3.1833e-08,            0.075763,             0.11765,            0.034377,           0.0082379,            0.054615,             0.13197,          3.1926e-08,            0.009901,            0.009901,            0.009901
                   8,            0.059954,             0.12543,          3.1178e-08,            0.071377,             0.13725,            0.039736,           0.0095896,            0.054768,             0.13323,          3.1881e-08,           0.0098845,           0.0098845,           0.0098845
                   9,            0.059671,             0.12471,          3.1482e-08,             0.15429,             0.15508,            0.080614,            0.018564,            0.052923,             0.13791,          3.2117e-08,            0.009868,            0.009868,            0.009868
                  10,             0.05925,             0.12769,          3.1442e-08,             0.21136,              0.1836,             0.12275,            0.026747,            0.051803,             0.12401,          3.1788e-08,           0.0098515,           0.0098515,           0.0098515
                  11,            0.057775,             0.12293,          3.1608e-08,             0.12523,             0.14795,            0.066851,            0.014281,            0.052054,              0.1267,          3.2002e-08,            0.009835,            0.009835,            0.009835
                  12,            0.057599,             0.11924,           3.158e-08,             0.17296,             0.21034,             0.10978,            0.024292,            0.051188,             0.12607,          3.1888e-08,           0.0098185,           0.0098185,           0.0098185
                  13,            0.057949,             0.12121,          3.1493e-08,              0.1385,             0.19073,            0.076494,            0.016697,            0.052137,             0.12876,          3.1752e-08,            0.009802,            0.009802,            0.009802
                  14,            0.056973,             0.11854,          3.1814e-08,             0.15892,             0.23886,             0.10975,            0.023612,            0.049666,             0.12249,          3.1767e-08,           0.0097855,           0.0097855,           0.0097855
