               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.062089,            0.049314,           2.987e-08,            0.040371,             0.22125,            0.027884,           0.0056498,            0.048649,            0.041093,           2.762e-08,            0.070045,           0.0033284,           0.0033284
                   1,             0.04785,            0.035046,           3.085e-08,             0.17453,             0.26655,             0.11358,            0.022233,            0.045719,            0.027866,          3.6187e-08,            0.040034,           0.0066507,           0.0066507
                   2,            0.042503,            0.030283,          3.4002e-08,             0.38487,             0.49652,             0.33985,            0.085939,            0.034894,            0.029013,          3.7578e-08,            0.010012,           0.0099621,           0.0099621
                   3,            0.037757,            0.028723,          3.3277e-08,              0.5525,             0.51916,             0.49161,             0.15458,            0.032259,            0.024865,          3.2363e-08,           0.0099505,           0.0099505,           0.0099505
                   4,             0.03474,            0.027125,          3.2188e-08,             0.56958,             0.56483,             0.53969,             0.17211,            0.030878,             0.02315,          3.2792e-08,           0.0099505,           0.0099505,           0.0099505
                   5,            0.032926,            0.025728,          3.2208e-08,             0.57786,             0.60813,             0.59421,             0.23319,            0.029026,            0.022288,          3.2681e-08,            0.009934,            0.009934,            0.009934
                   6,            0.031268,            0.025078,           3.223e-08,             0.52834,             0.44104,             0.42561,             0.12947,            0.034561,             0.02432,           3.246e-08,           0.0099175,           0.0099175,           0.0099175
                   7,            0.030606,            0.024499,          3.2143e-08,             0.69487,             0.64634,             0.65704,             0.29503,            0.025571,            0.021144,          3.2253e-08,            0.009901,            0.009901,            0.009901
                   8,             0.02939,            0.023763,          3.2389e-08,             0.65986,             0.66551,              0.6686,             0.28546,            0.026362,            0.020696,          3.2613e-08,           0.0098845,           0.0098845,           0.0098845
                   9,            0.029442,            0.023593,          3.2351e-08,             0.68696,             0.62195,             0.66181,             0.27154,            0.027282,            0.021816,          3.2323e-08,            0.009868,            0.009868,            0.009868
