               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092678,              0.1459,          2.9839e-08,          0.00094021,           0.0017825,          7.8763e-05,          1.0874e-05,            0.088438,             0.14585,          2.8744e-08,            0.070263,           0.0033041,           0.0033041
                   1,             0.08612,             0.13165,          2.8739e-08,           0.0042861,            0.099822,           0.0022111,          0.00050698,            0.079215,             0.14362,          3.6859e-08,            0.040252,           0.0066265,           0.0066265
                   2,            0.077264,             0.12502,          3.5022e-08,            0.017811,              0.1836,            0.010235,           0.0022335,            0.071462,             0.21732,          7.1858e-08,             0.01023,           0.0099379,           0.0099379
                   3,            0.071951,             0.13614,          3.9276e-08,            0.035871,            0.076649,            0.011721,           0.0033872,            0.077362,             0.16007,          8.1649e-08,           0.0099505,           0.0099505,           0.0099505
                   4,            0.068337,             0.12942,          3.5309e-08,            0.038983,            0.099822,            0.017243,           0.0040253,            0.064265,             0.13981,          3.7632e-08,           0.0099505,           0.0099505,           0.0099505
                   5,            0.067131,             0.13574,          3.4319e-08,            0.040476,             0.11052,            0.018947,           0.0043575,            0.061479,              0.1319,          3.5788e-08,            0.009934,            0.009934,            0.009934
                   6,            0.064721,             0.13793,          3.4661e-08,             0.11103,              0.1533,            0.049642,            0.010599,            0.058548,             0.13853,          3.7288e-08,           0.0099175,           0.0099175,           0.0099175
                   7,            0.063454,             0.13109,          3.5604e-08,            0.074632,             0.15865,            0.038876,           0.0085339,            0.057739,             0.13314,          3.6833e-08,            0.009901,            0.009901,            0.009901
                   8,            0.062151,             0.13138,            3.55e-08,            0.058988,             0.16578,            0.038982,           0.0099384,            0.055787,             0.13433,          3.6367e-08,           0.0098845,           0.0098845,           0.0098845
                   9,             0.06173,              0.1325,          3.5721e-08,             0.15745,             0.11052,            0.057098,             0.01146,            0.056013,              0.1393,          3.7665e-08,            0.009868,            0.009868,            0.009868
